hcp_id,first_name,last_name,specialty,facility,years_of_practice,state,city,zip_code,email,phone,territory_id,potential_score,influence_score,created_at
HCP00001,Danielle,Johnson,Pediatrician,Hospital,2,NC,Johnberg,97031,danielle.johnson@rhodes.com,001-260-501-3389,T04,77,5,2023-01-01
HCP00002,Jennifer,Miles,Neurologist,Private Practice,7,MO,Robinsonshire,36964,jennifer.miles@blake.biz,942-335-1161x55940,T02,79,9,2023-01-01
HCP00003,Teresa,Gray,Internal Medicine,Medical Center,3,CA,Mariastad,76175,teresa.gray@bush.com,001-341-431-6475x25534,T02,66,5,2023-01-01
HCP00004,Amanda,Sanchez,Neurologist,Private Practice,33,WI,Grayside,29286,amanda.sanchez@nguyen.com,564-613-9537x67242,T01,93,7,2023-01-01
HCP00005,Julie,Patterson,Primary Care,Private Practice,35,AZ,Coxberg,67285,julie.patterson@davis-williams.com,(626)291-6697,T04,62,7,2023-01-01
HCP00006,Erin,Wilson,Rheumatologist,Health System,18,CA,Kaylamouth,15122,erin.wilson@graham-chavez.com,728.914.8932x52880,T03,63,5,2023-01-01
HCP00007,Andrew,Hickman,Geriatrician,Medical Center,22,NC,Johnbury,74865,andrew.hickman@miller.com,001-682-827-8248x96383,T03,73,2,2023-01-01
HCP00008,Wanda,Santos,Neurologist,Clinic,7,FL,Lammouth,16361,wanda.santos@walker.com,001-383-293-0103,T07,44,4,2023-01-01
HCP00009,Michele,Jones,Endocrinologist,Clinic,23,WI,West Elizabeth,28581,michele.jones@anderson.info,876.931.1656,T05,54,6,2023-01-01
HCP00010,Michelle,Brown,Cardiologist,Medical Center,35,NY,North Richardmouth,14823,michelle.brown@lee.info,(362)247-3178,T07,56,3,2023-01-01
HCP00011,Denise,Fernandez,Endocrinologist,Health System,19,WI,North Sarabury,22299,denise.fernandez@tucker-lewis.biz,9264064746,T06,91,5,2023-01-01
HCP00012,James,Robinson,Internal Medicine,Private Practice,5,TX,New Jillton,98539,james.robinson@brown-silva.net,220.381.2191x36193,T04,71,3,2023-01-01
HCP00013,Robert,Silva,Oncologist,Hospital,15,NY,Sarahborough,88283,robert.silva@edwards.com,651.407.9911x838,T07,61,6,2023-01-01
HCP00014,Sarah,Ibarra,Oncologist,Medical Center,24,IL,West Justin,57934,sarah.ibarra@warner.net,4846124118,T06,52,6,2023-01-01
HCP00015,Juan,Clark,Psychiatrist,Private Practice,18,FL,Jamesview,66745,juan.clark@king-odonnell.com,964-800-5242,T10,60,5,2023-01-01
HCP00016,Ann,Rodriguez,Pediatrician,Private Practice,35,GA,New Barry,48894,ann.rodriguez@tran.com,4535315869,T03,60,9,2023-01-01
HCP00017,Michelle,Cherry,Rheumatologist,Medical Center,18,MO,South Angel,97043,michelle.cherry@patton-jenkins.com,521-260-7337x543,T04,69,3,2023-01-01
HCP00018,Donna,Ross,Pediatrician,Clinic,4,GA,Michelleview,46526,donna.ross@hicks.com,8147294019,T01,82,3,2023-01-01
HCP00019,Jessica,Edwards,Psychiatrist,Medical Center,18,FL,South Rachelborough,33887,jessica.edwards@fletcher.net,+1-635-661-5951,T04,73,2,2023-01-01
HCP00020,Elizabeth,Nguyen,Internal Medicine,Clinic,14,TN,Angelaborough,55609,elizabeth.nguyen@bentley.org,001-746-980-4436,T07,50,6,2023-01-01
HCP00021,Scott,Lowe,Pediatrician,Medical Center,10,NC,Leonburgh,86857,scott.lowe@campbell.org,813-543-3200x37917,T03,81,6,2023-01-01
HCP00022,Jennifer,Cruz,Neurologist,Health System,35,NC,Sancheztown,98931,jennifer.cruz@osborne.com,001-787-908-3172x788,T10,68,5,2023-01-01
HCP00023,Cheyenne,Ball,Pulmonologist,Health System,26,VA,Rivasside,58947,cheyenne.ball@manning.info,734-787-3471x434,T04,47,4,2023-01-01
HCP00024,Patricia,Miller,Gastroenterologist,Health System,32,FL,East Patrick,20529,patricia.miller@lewis.info,(803)566-9096x70546,T01,63,8,2023-01-01
HCP00025,Tracy,Nelson,Endocrinologist,Private Practice,11,AZ,Johnsonmouth,88171,tracy.nelson@yates.com,+1-280-669-9016x272,T10,75,2,2023-01-01
HCP00026,Nicholas,Lewis,Endocrinologist,Medical Center,25,WI,Matthewfurt,36972,nicholas.lewis@king-miller.com,001-580-453-1003x3092,T08,74,5,2023-01-01
HCP00027,Thomas,Wilson,Primary Care,Clinic,1,NY,South Holly,48852,thomas.wilson@obrien.com,001-324-619-0496x63193,T09,59,7,2023-01-01
HCP00028,Melissa,Burke,Oncologist,Clinic,8,MI,Port Tonyaton,46009,melissa.burke@patterson.com,4676165726,T07,85,7,2023-01-01
HCP00029,Christina,Gillespie,Gastroenterologist,Medical Center,1,NC,Marshallshire,35680,christina.gillespie@christian-rivas.com,973-579-9650x752,T09,57,5,2023-01-01
HCP00030,Michael,Green,Gastroenterologist,Health System,7,MI,Nicoleview,73349,michael.green@black.com,367.683.7770,T09,74,7,2023-01-01
HCP00031,Jeffrey,Holt,Internal Medicine,Private Practice,10,VA,Elizabethstad,62532,jeffrey.holt@schmidt.com,(574)544-3135x182,T03,62,5,2023-01-01
HCP00032,Joanna,Hill,Primary Care,Health System,1,WI,Tinaborough,39330,joanna.hill@ward.com,001-682-940-0842x710,T06,53,3,2023-01-01
HCP00033,Timothy,Peterson,Rheumatologist,Hospital,8,VA,West Shelleyfort,15454,timothy.peterson@morales.org,+1-502-829-4131x8699,T05,82,8,2023-01-01
HCP00034,Shannon,Ramos,Neurologist,Hospital,16,MD,Torreston,80406,shannon.ramos@garcia.com,+1-212-532-8120x67974,T02,68,8,2023-01-01
HCP00035,Keith,Campbell,Endocrinologist,Medical Center,5,MO,Jonesbury,35176,keith.campbell@lawrence.com,+1-632-942-1024,T03,75,4,2023-01-01
HCP00036,David,Barker,Gastroenterologist,Medical Center,11,NC,Benderhaven,71277,david.barker@kim-george.biz,001-459-940-1399x0490,T09,75,9,2023-01-01
HCP00037,April,Ramos,Internal Medicine,Medical Center,14,MO,Howardshire,57633,april.ramos@olsen.biz,651-725-6746x80715,T04,69,9,2023-01-01
HCP00038,Darrell,Barton,Geriatrician,Clinic,26,VA,Lake Mollymouth,54666,darrell.barton@lopez.org,001-577-403-4824x77109,T08,30,7,2023-01-01
HCP00039,Lance,Smith,Primary Care,Medical Center,8,GA,Davisville,60983,lance.smith@holland.info,001-548-446-7737x826,T04,71,5,2023-01-01
HCP00040,Michelle,Hill,Endocrinologist,Clinic,2,MD,Morganhaven,35519,michelle.hill@campbell.org,001-872-978-7558,T09,71,2,2023-01-01
HCP00041,Sarah,Kane,Neurologist,Health System,15,CA,New Patrick,54342,sarah.kane@flores.biz,(227)402-8951x7187,T02,66,6,2023-01-01
HCP00042,Robert,Pena,Geriatrician,Hospital,15,FL,North Terrance,35238,robert.pena@hanson-sanders.com,386-357-8091x34316,T01,92,4,2023-01-01
HCP00043,Scott,Benson,Psychiatrist,Hospital,33,GA,North Markton,38953,scott.benson@brooks-thomas.net,(992)622-1969x37923,T05,57,4,2023-01-01
HCP00044,Steve,Estrada,Pediatrician,Medical Center,14,MO,Santanaside,21207,steve.estrada@alexander.org,664-674-3671x3695,T03,83,6,2023-01-01
HCP00045,Andrew,Greer,Geriatrician,Health System,31,GA,Hillshire,90390,andrew.greer@beltran.com,001-739-453-3942x10470,T08,62,7,2023-01-01
HCP00046,Christopher,Phillips,Pulmonologist,Private Practice,7,NY,Thompsonberg,71202,christopher.phillips@schmidt-mcintyre.com,374-851-7123x685,T07,71,7,2023-01-01
HCP00047,Alexander,Herrera,Psychiatrist,Medical Center,27,MA,Richardsonview,77120,alexander.herrera@carson-bentley.com,+1-437-209-8593x17461,T01,59,5,2023-01-01
HCP00048,Sophia,Torres,Pediatrician,Hospital,4,WA,Wilsonbury,70958,sophia.torres@price.net,(592)761-7964x05377,T06,64,3,2023-01-01
HCP00049,Cory,Jennings,Endocrinologist,Private Practice,13,OH,Bruceview,25379,cory.jennings@rush.com,+1-539-500-5329x31839,T09,74,6,2023-01-01
HCP00050,Mark,Hernandez,Rheumatologist,Private Practice,28,IL,West Micheleberg,17539,mark.hernandez@king.com,(205)439-5024,T05,70,5,2023-01-01
HCP00051,Judy,Fox,Rheumatologist,Private Practice,5,MA,South Shanestad,67772,judy.fox@rodriguez.com,001-384-770-0766x1771,T09,48,5,2023-01-01
HCP00052,Charlene,Jones,Endocrinologist,Hospital,35,CA,Claudiashire,72375,charlene.jones@nguyen.info,896.311.8367x36576,T02,64,4,2023-01-01
