mr_id,first_name,last_name,email,hire_date,territory_ids
MR001,Christopher,Wright,christopher.wright@pharma.com,2022-08-15,"T07,T08"
MR002,Kenneth,Duncan,kenneth.duncan@pharma.com,2018-05-01,T05
MR003,Christina,Ward,christina.ward@pharma.com,2020-02-19,"T03,T10"
MR004,Kimberly,Patrick,kimberly.patrick@pharma.com,2018-02-09,"T04,T05"
MR005,David,Carroll,david.carroll@pharma.com,2020-09-25,"T03,T09"
MR006,Mary,Abbott,mary.abbott@pharma.com,2021-10-11,T09
MR007,Steven,Gonzales,steven.gonzales@pharma.com,2021-12-21,"T07,T10"
MR008,Benjamin,Howard,benjamin.howard@pharma.com,2022-09-27,T07
MR009,Jeffery,Brown,jeffery.brown@pharma.com,2018-09-06,T05
MR010,Joshua,Bishop,joshua.bishop@pharma.com,2020-09-03,T06
MR011,Stephanie,Alexander,stephanie.alexander@pharma.com,2020-03-13,T08
MR012,Katie,Hill,katie.hill@pharma.com,2022-03-19,"T02,T10"
MR013,David,Mccoy,david.mccoy@pharma.com,2019-04-03,T01
MR014,Monica,Douglas,monica.douglas@pharma.com,2019-12-25,"T07,T01"
MR015,Danny,Johnson,danny.johnson@pharma.com,2022-04-25,T04
MR016,Michelle,Riley,michelle.riley@pharma.com,2018-05-12,T08
MR017,Angela,Perez,angela.perez@pharma.com,2020-03-16,T06
MR018,Theresa,Smith,theresa.smith@pharma.com,2021-01-03,"T01,T05"
MR019,Amber,Williams,amber.williams@pharma.com,2020-01-01,T02
MR020,Michael,Jones,michael.jones@pharma.com,2021-10-11,"T04,T05"
MR021,Daniel,Jones,daniel.jones@pharma.com,2019-09-27,"T04,T10"
MR022,Mark,Watson,mark.watson@pharma.com,2021-07-17,"T05,T08"
MR023,Charles,Simmons,charles.simmons@pharma.com,2020-05-30,"T09,T06"
MR024,Douglas,Nguyen,douglas.nguyen@pharma.com,2021-01-25,"T05,T07"
MR025,Matthew,Russell,matthew.russell@pharma.com,2021-03-11,"T08,T02"
MR026,Thomas,Beltran,thomas.beltran@pharma.com,2018-04-08,"T06,T04"
MR027,Ethan,Williams,ethan.williams@pharma.com,2019-04-13,"T06,T08"
MR028,Rhonda,Johnson,rhonda.johnson@pharma.com,2019-10-21,T10
MR029,Lindsey,Dixon,lindsey.dixon@pharma.com,2022-04-29,T03
MR030,Krista,Marquez,krista.marquez@pharma.com,2019-10-31,T05
MR031,Nicholas,Aguilar,nicholas.aguilar@pharma.com,2019-04-13,"T05,T03"
MR032,Patrick,Cuevas,patrick.cuevas@pharma.com,2018-09-02,T06
MR033,Stephanie,Benjamin,stephanie.benjamin@pharma.com,2019-11-30,T07
MR034,Ariana,Cuevas,ariana.cuevas@pharma.com,2022-09-01,T08
MR035,Jessica,Ryan,jessica.ryan@pharma.com,2019-01-13,"T05,T09"
MR036,Melanie,Rose,melanie.rose@pharma.com,2018-06-10,"T08,T03"
MR037,Catherine,Hopkins,catherine.hopkins@pharma.com,2022-06-06,"T03,T04"
MR038,Scott,Adams,scott.adams@pharma.com,2022-11-24,"T03,T10"
MR039,Kelly,Sanchez,kelly.sanchez@pharma.com,2020-01-27,T09
MR040,Lauren,Madden,lauren.madden@pharma.com,2019-12-20,T02
MR041,Stephen,Goodman,stephen.goodman@pharma.com,2018-12-26,T01
MR042,Heather,Wallace,heather.wallace@pharma.com,2021-06-28,"T03,T05"
MR043,Michael,Bell,michael.bell@pharma.com,2022-04-21,T03
MR044,Charles,Cox,charles.cox@pharma.com,2022-02-14,T04
MR045,Cassie,Cole,cassie.cole@pharma.com,2021-07-26,"T06,T01"
MR046,Jerry,Carey,jerry.carey@pharma.com,2019-01-26,"T08,T01"
MR047,Sara,Sanchez,sara.sanchez@pharma.com,2021-06-21,T09
MR048,Emily,Wade,emily.wade@pharma.com,2020-03-20,"T01,T02"
MR049,Laura,Peterson,laura.peterson@pharma.com,2019-01-03,"T09,T05"
MR050,Christopher,Fisher,christopher.fisher@pharma.com,2019-04-08,T09
